release_year,total_titles,total_movies,total_tv_shows
1925,1,0,1
1942,2,2,0
1943,3,3,0
1944,3,3,0
1945,4,3,1
1946,2,1,1
1947,1,1,0
1954,2,2,0
1955,3,3,0
1956,2,2,0
1958,3,3,0
1959,1,1,0
1960,4,4,0
1961,1,1,0
1962,3,3,0
1963,2,1,1
1964,2,2,0
1965,2,2,0
1966,1,1,0
1967,5,4,1
1968,3,3,0
1969,2,2,0
1970,2,2,0
1971,5,5,0
1972,5,4,1
1973,10,10,0
1974,7,6,1
1975,7,7,0
1976,9,9,0
1977,7,6,1
1978,7,7,0
1979,11,10,1
1980,11,11,0
1981,13,12,1
1982,17,17,0
1983,11,11,0
1984,12,12,0
1985,10,9,1
1986,13,11,2
1987,8,8,0
1988,18,16,2
1989,16,15,1
1990,21,18,3
1991,17,16,1
1992,23,20,3
1993,28,24,4
1994,21,19,2
1995,25,23,2
1996,24,21,3
1997,37,33,4
1998,36,32,4
1999,39,32,7
2000,37,33,4
2001,45,40,5
2002,51,44,7
2003,61,51,10
2004,64,55,9
2005,80,67,13
2006,95,82,13
2007,88,74,14
2008,136,113,23
2009,152,118,34
2010,193,153,40
2011,185,145,40
2012,237,173,64
2013,288,225,63
2014,352,264,88
2015,559,397,162
2016,901,657,244
2017,1030,765,265
2018,1145,765,380
2019,1026,630,396
2020,952,516,436
2021,589,275,314
